SupplierID,SupplierAddress,SupplierName,SupplierContactDetails,ProductID,CarMaker,CarModel,CarColor,CarModelYear,CarPrice,CustomerID,CustomerName,Gender,JobTitle,PhoneNumber,EmailAddress,City,Country,CountryCode,State,CustomerAddress,OrderDate,OrderID,ShipDate,ShipMode,Shipping,PostalCode,Sales,Quantity,Discount,CreditCardType,CreditCard,CustomerFeedback,LeadTime,CalcSales_NoDiscount,CalcSales_WithDiscount,Calculated_Total,Delay
1,542 Dayton Center,Bubbletube,871-57-6028,8893,Dodge,Ram 2500,Goldenrod,2007,521963.45,60760-224,Louie Hinsche,Male,Mechanical Systems Engineer,907-966-3323,lhinsche0@comcast.net,Anchorage,United States,US,Alaska,1 Independence Circle,2018-12-16,0268-6694,2019-03-14,Standard Class,Truck,99522,744796.41,1,0.83,diners-club-carte-blanche,30408016042565,Bad,88,521963.45,88733.78650000002,88733.79,88
2,0674 Springview Circle,Tagopia,337-64-4060,9444,Toyota,Tundra,Crimson,2010,672222.04,67457-594,Alexandros Manuel,Male,Structural Engineer,320-943-9301,amanuel1@usnews.com,Saint Cloud,United States,US,Minnesota,209 Lerdahl Alley,2019-02-13,0699-5728,2019-03-06,Standard Class,Truck,56398,794773.17,1,0.79,jcb,3549221112237767,Good,21,672222.04,141166.6284,141166.63,21
3,70 Autumn Leaf Center,Zoomdog,218-19-1802,253,Gmc,Savana 1500,Crimson,2011,504465.72,58411-135,Alvie Weighell,Male,Systems Administrator III,312-561-8337,aweighell2@nature.com,Chicago,United States,US,Illinois,1803 Evergreen Trail,2018-08-16,42043-251,2019-01-20,Second Class,Air,60674,968244.9,1,0.28,jcb,3557159608180902,Okay,157,504465.72,363215.3184,363215.32,157
4,649 Corben Lane,Oozz,635-15-3112,1283,Volkswagen,Cabriolet,Fuscia,1990,646077.11,0591-5307,Flint Gunston,Male,Operator,407-830-3175,fgunston3@mozilla.org,Orlando,United States,US,Florida,9682 Warbler Terrace,2019-02-22,57520-1044,2019-03-16,First Class,Truck,32885,942213.82,2,0.76,jcb,3529909223663921,Very Bad,22,1292154.22,310117.0128,310117.01,22
5,94 Namekagon Point,Kare,849-23-6788,8905,Mercury,Mariner,Teal,2009,699890.24,51655-189,Alyssa Filpi,Female,Software Engineer III,313-870-7247,afilpi4@webs.com,Detroit,United States,US,Michigan,5751 Tony Avenue,2018-09-06,36987-3308,2019-01-29,Second Class,Air,48232,879519.57,1,0.5,china-unionpay,5602235978541517,Bad,145,699890.24,349945.12,349945.12,145
6,46347 Dunning Drive,Rhynyx,378-57-0118,8877,Toyota,Land Cruiser,Crimson,2005,694373.94,65811-0001,Wiatt Piche,Male,Professor,404-590-7068,wpiche5@deviantart.com,Atlanta,United States,US,Georgia,26066 Valley Edge Parkway,2018-08-16,11822-0580,2019-03-24,Standard Class,Air,31136,947785.4,2,0.39,laser,6706247841149207,Good,220,1388747.88,847136.2067999999,847136.21,220
8,30230 Westerfield Pass,Wordify,371-69-6870,8854,Bmw,X6,Purple,2013,528353.8,54162-018,Ottilie Wittman,Female,Administrative Officer,304-526-4427,owittman7@nps.gov,Charleston,United States,US,West Virginia,0 Sachs Court,2018-06-30,49527-013,2019-01-01,Second Class,Truck,25336,779626.29,1,0.9,jcb,3589144247894735,Bad,185,528353.8,52835.37999999999,52835.38,185
9,4 Coleman Street,Skyvu,717-19-7839,9043,Mitsubishi,Galant,Orange,2011,706964.35,44911-0060,Kirsten Calvey,Female,Assistant Manager,623-594-6668,kcalvey8@google.cn,Phoenix,United States,US,Arizona,0 Maywood Center,2018-11-04,52125-325,2019-01-16,First Class,Air,85035,818364.32,2,0.5,jcb,3557048508901444,Okay,73,1413928.7,706964.35,706964.35,73
10,100 Anhalt Place,Feedfire,634-55-4653,492,Subaru,Justy,Crimson,1988,798573.59,54868-5732,Archer Landsborough,Male,Speech Pathologist,408-440-1522,alandsborough9@chron.com,San Jose,United States,US,California,04 Knutson Drive,2018-11-24,45802-283,2019-02-24,Standard Class,Truck,95113,902866.47,1,0.61,jcb,3534727482148019,Very Bad,92,798573.59,311443.7001,311443.7,92
12,6 Meadow Vale Center,Oyoyo,440-82-9219,7891,Ford,Taurus X,Crimson,2008,761182.85,54838-101,Barry Delves,Female,Analog Circuit Design manager,315-420-4107,bdelvesb@zimbio.com,Syracuse,United States,US,New York,7265 Buell Trail,2018-12-02,60512-1035,2019-05-20,Same Day,Truck,13217,743643.26,2,0.61,jcb,3558313957113134,Okay,169,1522365.7,593722.623,593722.62,169
14,55262 Emmet Place,Gabvine,854-30-4179,8898,Dodge,Avenger,Turquoise,2008,646591.02,54799-504,Demetria Hazelgrove,Female,Human Resources Assistant IV,785-371-7195,dhazelgroved@theatlantic.com,Topeka,United States,US,Kansas,25 Dapin Lane,2019-04-25,57955-8315,2019-05-17,First Class,Air,66642,703359.96,1,0.88,jcb,3542457262271746,Good,22,646591.02,77590.9224,77590.92,22
15,330 Pennsylvania Plaza,Jaxspan,385-11-6886,4531,Nissan,Pathfinder,Khaki,2002,670304.84,43742-0059,Creigh Wreakes,Male,Internal Auditor,202-159-8703,cwreakese@mtv.com,Washington,United States,US,District of Columbia,9 Nelson Parkway,2018-08-12,58118-0404,2019-01-07,Same Day,Air,20005,832581.18,2,0.44,jcb,3547068258964254,Good,148,1340609.68,750741.4208000001,750741.42,148
16,428 Meadow Ridge Alley,Mybuzz,632-59-2978,3327,Bmw,M3,Turquoise,2009,728986.85,68788-9728,Erv Manville,Male,Senior Developer,423-655-8690,emanvillef@shareasale.com,Chattanooga,United States,US,Tennessee,98287 Tennessee Place,2018-12-03,65862-082,2019-06-01,Same Day,Air,37416,948098.46,2,0.84,visa,4041371050360,Good,180,1457973.7,233275.79200000004,233275.79,180
17,26 Stuart Court,Gabcube,236-54-6347,7975,Mercedes-Benz,R-Class,Puce,2009,665854.24,0228-2672,Mychal Zanetti,Male,Social Worker,937-749-6041,mzanettig@dropbox.com,Dayton,United States,US,Ohio,68 Prairieview Way,2018-08-06,50169-0005,2019-02-21,Same Day,Air,45470,856069.09,2,0.63,china-unionpay,5602211184221939,Very Good,199,1331708.48,492732.1376,492732.14,199
18,73 Beilfuss Road,Lazz,329-80-2609,7029,Honda,FCX Clarity,Yellow,2012,707705.42,21695-215,Jermain Proudman,Male,Senior Editor,920-861-3234,jproudmanh@independent.co.uk,Appleton,United States,US,Wisconsin,064 Everett Circle,2019-04-15,49404-204,2019-05-20,Same Day,Air,54915,749727.44,1,0.64,mastercard,5002351018761126,Very Good,35,707705.42,254773.9512,254773.95,35
20,411 Coleman Circle,Yodel,298-99-8758,5839,Ford,Tempo,Turquoise,1988,686028.43,49288-0606,Timmy Duck,Female,Payment Adjustment Coordinator,410-914-0768,tduckj@mapquest.com,Annapolis,United States,US,Maryland,90 Mendota Park,2018-11-12,57955-2282,2019-03-24,Standard Class,Truck,21405,927054.81,2,0.83,jcb,3585383496896249,Bad,132,1372056.86,233249.6662000001,233249.67,132
21,88 Katie Way,Innojam,188-55-0225,1459,Mercedes-Benz,SL-Class,Turquoise,2009,526717.03,49693-1801,Barbee Cathel,Female,Chemical Engineer,812-935-0173,bcathelk@paginegialle.it,Bloomington,United States,US,Indiana,618 Bunting Court,2018-12-03,28107-003,2019-05-31,Second Class,Air,47405,979571.33,2,0.4,china-unionpay,56022105354711346,Bad,179,1053434.06,632060.436,632060.44,179
22,196 Darwin Park,Skidoo,192-42-0999,8464,Chevrolet,Monte Carlo,Aquamarine,1996,569743.98,23155-141,Aimee O'Canavan,Female,Project Manager,818-799-2159,aocanavanl@1688.com,Santa Monica,United States,US,California,12088 Anniversary Trail,2019-01-24,53808-0349,2019-05-31,Standard Class,Air,90405,718907.78,1,0.39,jcb,3576763704595652,Good,127,569743.98,347543.8278,347543.83,127
24,4800 Melby Court,Browseblab,664-19-9393,8048,Toyota,Celica,Puce,2003,702988.61,0703-9258,Marylin Tresvina,Female,Staff Scientist,775-670-5395,mtresvinan@discovery.com,Reno,United States,US,Nevada,8 Northland Lane,2018-09-09,44911-0082,2019-02-18,Second Class,Air,89519,808884.0,1,0.57,jcb,3546807614061714,Good,162,702988.61,302285.1023,302285.1,162
25,9 Onsgard Park,Mybuzz,120-35-5790,5595,Bmw,7 Series,Turquoise,2012,767834.18,50988-176,Letisha Mahoney,Female,Professor,765-387-1807,lmahoneyo@hibu.com,Muncie,United States,US,Indiana,38475 Longview Terrace,2018-08-16,55316-647,2019-06-04,First Class,Truck,47306,764420.77,1,0.88,jcb,3588036589424991,Very Good,292,767834.18,92140.1016,92140.1,292
28,92 Forest Dale Place,Kamba,283-27-2548,7827,Buick,Regal,Orange,2011,649144.0,42507-612,Phillipe Fussie,Male,Director of Sales,305-467-5364,pfussier@lycos.com,Miami,United States,US,Florida,3110 Loomis Parkway,2019-01-06,0527-1366,2019-03-02,First Class,Air,33158,935633.27,2,0.5,jcb,3570488496631574,Very Bad,55,1298288.0,649144.0,649144.0,55
30,97 Golf View Center,Rhyloo,703-69-5945,4533,Pontiac,Grand Prix,Red,1983,695215.79,69243-0610,Ernesta Tzarkov,Female,Assistant Media Planner,360-308-5537,etzarkovt@google.fr,Vancouver,United States,US,Washington,09 Bartelt Drive,2019-01-16,63629-5233,2019-05-09,Same Day,Air,98682,740992.19,1,0.63,switch,6331104307525411960,Bad,113,695215.79,257229.8423,257229.84,113
31,8005 Duke Trail,Yakijo,289-85-2357,1425,Cadillac,DTS,Fuscia,2010,631349.63,75936-123,Hailey Doorbar,Male,Human Resources Manager,402-260-7696,hdoorbaru@un.org,Lincoln,United States,US,Nebraska,3711 Leroy Junction,2018-11-28,54868-4525,2019-03-27,Standard Class,Air,68531,863444.64,2,0.89,jcb,3586986013009234,Very Good,119,1262699.26,138896.91859999998,138896.92,119
32,421 Dayton Court,Fanoodle,437-49-2246,3840,Volkswagen,Jetta,Turquoise,1984,795403.28,51346-179,Ricoriki Egalton,Male,Help Desk Technician,512-959-3351,regaltonv@ning.com,Austin,United States,US,Texas,508 Hazelcrest Lane,2018-12-09,65342-1377,2019-03-16,Standard Class,Truck,78783,935827.84,2,0.66,jcb,3530359845954588,Good,97,1590806.56,540874.2304,540874.23,97
33,1845 Fulton Terrace,Skaboo,454-25-1393,8157,Volkswagen,New Beetle,Pink,2001,728738.25,10849-001,Mateo Gawith,Male,Compensation Analyst,646-678-9472,mgawithw@yahoo.co.jp,Brooklyn,United States,US,New York,570 Hansons Court,2018-10-19,37000-069,2019-01-09,First Class,Air,11215,904657.67,2,0.52,jcb,3530468797987148,Very Bad,82,1457476.5,699588.72,699588.72,82
34,29474 Daystar Drive,Flashpoint,598-40-8384,6551,Chevrolet,3500,Indigo,1996,621482.6,52125-632,Jeffy Duckworth,Male,Senior Financial Analyst,915-389-8537,jduckworthx@wix.com,El Paso,United States,US,Texas,778 Sunnyside Hill,2018-09-26,0904-5721,2019-01-28,Second Class,Truck,79999,831839.93,1,0.71,jcb,3540072326980984,Bad,124,621482.6,180229.95400000003,180229.95,124
36,926 Elmside Alley,Linkbridge,708-65-5880,7609,Acura,SLX,Khaki,1999,543658.53,68387-695,Joete Rigmond,Female,Internal Auditor,646-344-7431,jrigmondz@youku.com,New York City,United States,US,New York,07 Forest Run Alley,2018-08-23,63629-4582,2019-06-03,Second Class,Truck,10060,963735.86,1,0.39,jcb,3579626410137811,Good,284,543658.53,331631.7033,331631.7,284
37,0 Almo Crossing,Oyonder,798-21-0070,5911,Chevrolet,Corvette,Green,1998,579336.1,0603-1384,Orland Morpeth,Male,Nurse,540-250-1864,omorpeth10@discuz.net,Roanoke,United States,US,Virginia,6 Dorton Circle,2018-06-28,47593-363,2019-05-03,Same Day,Truck,24020,883232.92,2,0.43,maestro,6763663155922015,Very Bad,309,1158672.2,660443.1540000001,660443.15,309
38,1208 Riverside Court,Edgeblab,279-37-6011,8736,Mazda,MX-5,Teal,2009,762675.72,55289-697,Nissie Piller,Female,Safety Technician IV,415-795-6358,npiller11@ucoz.com,San Francisco,United States,US,California,5 Myrtle Circle,2018-11-11,0781-3167,2019-05-31,Standard Class,Air,94177,943846.05,1,0.85,mastercard,5108759057194335,Very Good,201,762675.72,114401.358,114401.36,201
39,41 Amoth Road,Jetpulse,375-53-8466,539,Ford,Econoline E250,Fuscia,2002,753675.72,33992-4948,Pablo Mithon,Male,VP Accounting,571-672-5925,pmithon12@mozilla.com,Dulles,United States,US,Virginia,9 Pawling Point,2018-09-05,68084-375,2019-03-23,Same Day,Truck,20189,917587.05,2,0.41,diners-club-carte-blanche,30470505329267,Good,199,1507351.44,889337.3496000001,889337.35,199
